"periode","demande brute","demande nette"
732,60528.000,60528.000
733,62422.500,62422.500
734,61677.500,61677.500
735,58071.000,58071.000
736,55667.500,55667.500
737,54827.000,54827.000
738,55708.000,55708.000
739,61079.000,61079.000
740,64484.000,64484.000
741,62104.500,62104.500
742,59044.000,59044.000
743,57102.000,57102.000
744,59009.000,59009.000
745,58191.000,58191.000
746,55719.500,55719.500
747,55120.000,55120.000
748,52954.000,52954.000
749,51644.000,51644.000
750,53088.000,53088.000
751,57665.000,57665.000
752,63753.500,63753.500
753,67196.500,67196.500
754,68333.500,68333.500
755,68642.000,68642.000
756,68843.500,68843.500
757,70101.500,70101.500
758,69711.500,69711.500
759,67729.500,67729.500
760,65999.000,65999.000
761,64932.500,64932.500
762,64881.000,64881.000
763,68116.000,68116.000
764,70933.000,70933.000
765,67205.000,67205.000
766,62889.000,62889.000
767,60568.500,60568.500
768,62140.000,62140.000
769,60962.500,60962.500
770,57854.500,57854.500
771,57062.500,57062.500
772,54856.000,54856.000
773,53399.500,53399.500
774,54436.500,54436.500
775,58649.000,58649.000
776,64634.500,64634.500
777,67757.000,67757.000
778,67669.000,67669.000
779,67155.000,67155.000
780,66863.500,66863.500
781,67508.000,67508.000
782,66622.500,66622.500
783,64340.500,64340.500
784,62089.500,62089.500
785,60841.500,60841.500
786,60570.500,60570.500
787,64047.000,64047.000
788,67234.000,67234.000
789,64065.000,64065.000
790,60044.500,60044.500
791,57850.500,57850.500
792,59302.500,59302.500
793,58333.000,58333.000
794,55576.000,55576.000
795,54717.000,54717.000
796,52414.000,52414.000
797,50985.000,50985.000
798,51998.500,51998.500
799,56266.000,56266.000
800,61995.500,61995.500
801,65086.000,65086.000
802,66510.000,66510.000
803,66473.000,66473.000
804,66536.500,66536.500
805,67369.500,67369.500
806,66740.500,66740.500
807,64649.000,64649.000
808,62863.000,62863.000
809,61665.500,61665.500
810,61326.500,61326.500
811,65060.000,65060.000
812,69029.500,69029.500
813,65878.000,65878.000
814,61668.000,61668.000
815,59642.000,59642.000
816,61579.000,61579.000
817,60695.500,60695.500
818,57871.500,57871.500
819,57204.000,57204.000
820,54931.000,54931.000
821,53558.500,53558.500
822,54704.000,54704.000
823,59388.500,59388.500
824,65755.000,65755.000
825,68976.500,68976.500
826,69369.500,69369.500
827,68812.000,68812.000
828,68402.500,68402.500
829,68875.000,68875.000
830,67754.000,67754.000
831,65058.500,65058.500
832,62673.000,62673.000
833,61510.000,61510.000
834,61589.500,61589.500
835,65146.000,65146.000
836,68553.000,68553.000
837,65020.000,65020.000
838,60923.000,60923.000
839,58858.500,58858.500
840,60702.500,60702.500
841,59618.000,59618.000
842,56645.000,56645.000
843,55901.500,55901.500
844,53511.000,53511.000
845,52265.500,52265.500
846,53411.500,53411.500
847,57675.500,57675.500
848,64203.500,64203.500
849,67473.000,67473.000
850,68011.000,68011.000
851,67331.500,67331.500
852,66922.500,66922.500
853,67329.500,67329.500
854,66245.500,66245.500
855,63596.500,63596.500
856,61221.500,61221.500
857,59552.000,59552.000
858,59512.000,59512.000
859,63066.500,63066.500
860,65917.500,65917.500
861,63263.500,63263.500
862,59518.000,59518.000
863,57680.000,57680.000
864,59751.000,59751.000
865,58642.000,58642.000
866,55401.000,55401.000
867,54296.000,54296.000
868,51597.000,51597.000
869,49892.500,49892.500
870,49873.500,49873.500
871,51366.000,51366.000
872,53746.500,53746.500
873,55752.500,55752.500
874,58703.500,58703.500
875,60266.500,60266.500
876,60924.000,60924.000
877,62700.500,62700.500
878,62592.500,62592.500
879,59355.000,59355.000
880,57416.000,57416.000
881,56351.000,56351.000
882,56579.000,56579.000
883,59858.000,59858.000
884,62877.000,62877.000
885,60796.500,60796.500
886,57700.000,57700.000
887,56294.000,56294.000
888,58933.000,58933.000
889,58135.500,58135.500
890,55290.000,55290.000
891,54554.000,54554.000
892,51981.000,51981.000
893,50319.500,50319.500
894,50151.000,50151.000
895,51307.000,51307.000
896,53020.500,53020.500
897,54677.000,54677.000
898,58070.500,58070.500
899,61078.500,61078.500
900,62676.500,62676.500
901,64893.500,64893.500
902,64428.500,64428.500
903,60638.500,60638.500
904,58572.500,58572.500
905,57838.000,57838.000
906,58680.500,58680.500
907,64201.500,64201.500
908,68656.000,68656.000
909,66675.000,66675.000
910,63830.000,63830.000
911,62285.000,62285.000
912,64657.500,64657.500
913,63967.000,63967.000
914,61491.500,61491.500
915,61136.000,61136.000
916,58941.500,58941.500
917,57836.500,57836.500
918,59610.500,59610.500
919,64477.500,64477.500
920,71024.000,71024.000
921,74890.500,74890.500
922,76662.500,76662.500
923,77078.500,77078.500
924,77288.500,77288.500
925,78571.500,78571.500
926,78035.500,78035.500
927,76138.000,76138.000
928,74171.500,74171.500
929,73242.000,73242.000
930,73266.000,73266.000
931,76402.000,76402.000
932,79873.500,79873.500
933,76248.500,76248.500
934,71808.500,71808.500
935,69297.000,69297.000
936,71137.000,71137.000
937,70033.000,70033.000
938,67130.000,67130.000
939,66656.500,66656.500
940,64500.000,64500.000
941,63372.000,63372.000
942,64668.500,64668.500
943,69294.000,69294.000
944,75739.000,75739.000
945,79236.000,79236.000
946,80785.500,80785.500
947,80961.500,80961.500
948,81126.000,81126.000
949,82184.000,82184.000
950,81698.000,81698.000
951,79573.500,79573.500
952,77521.000,77521.000
953,76388.000,76388.000
954,76346.500,76346.500
955,79245.500,79245.500
956,82288.000,82288.000
957,78583.500,78583.500
958,74156.000,74156.000
959,71764.000,71764.000
960,73242.000,73242.000
961,71904.000,71904.000
962,69010.000,69010.000
963,68484.500,68484.500
964,66417.000,66417.000
965,65275.000,65275.000
966,66551.000,66551.000
967,70814.500,70814.500
968,76637.000,76637.000
969,80119.500,80119.500
970,82189.500,82189.500
971,82517.000,82517.000
972,82035.000,82035.000
973,82533.500,82533.500
974,81260.000,81260.000
975,78466.000,78466.000
976,75848.000,75848.000
977,74837.000,74837.000
978,74981.000,74981.000
979,79162.500,79162.500
980,84121.000,84121.000
981,81095.000,81095.000
982,76649.500,76649.500
983,74480.500,74480.500
984,76500.500,76500.500
985,75614.500,75614.500
986,72781.000,72781.000
987,72750.500,72750.500
988,70635.000,70635.000
989,69428.500,69428.500
990,70643.500,70643.500
991,75051.500,75051.500
992,81203.500,81203.500
993,84389.500,84389.500
994,85625.500,85625.500
995,84995.500,84995.500
996,84207.500,84207.500
997,84486.000,84486.000
998,83185.500,83185.500
999,80342.500,80342.500
1000,77734.000,77734.000
1001,76953.500,76953.500
1002,77410.500,77410.500
1003,80962.000,80962.000
1004,85277.000,85277.000
1005,81799.500,81799.500
1006,77479.500,77479.500
1007,75048.500,75048.500
1008,76704.000,76704.000
1009,75628.000,75628.000
1010,73228.500,73228.500
1011,73073.500,73073.500
1012,70840.500,70840.500
1013,69489.000,69489.000
1014,70595.000,70595.000
1015,74828.000,74828.000
1016,80527.500,80527.500
1017,83757.000,83757.000
1018,85396.000,85396.000
1019,85854.500,85854.500
1020,85840.000,85840.000
1021,86321.000,86321.000
1022,85261.000,85261.000
1023,82234.000,82234.000
1024,79482.500,79482.500
1025,77906.000,77906.000
1026,77857.500,77857.500
1027,80788.500,80788.500
1028,84515.500,84515.500
1029,81946.000,81946.000
1030,78174.000,78174.000
1031,76046.000,76046.000
1032,77918.000,77918.000
1033,76682.500,76682.500
1034,74288.500,74288.500
1035,73959.000,73959.000
1036,71432.500,71432.500
1037,69772.000,69772.000
1038,69784.000,69784.000
1039,71408.000,71408.000
1040,73805.500,73805.500
1041,76086.000,76086.000
1042,79128.500,79128.500
1043,80221.000,80221.000
1044,79838.000,79838.000
1045,80550.500,80550.500
1046,79559.500,79559.500
1047,75533.000,75533.000
1048,72618.500,72618.500
1049,71258.500,71258.500
1050,71799.000,71799.000
1051,76016.500,76016.500
1052,80739.500,80739.500
1053,79259.500,79259.500
1054,75896.000,75896.000
1055,74484.000,74484.000
1056,76920.000,76920.000
1057,76171.000,76171.000
1058,73364.500,73364.500
1059,73061.000,73061.000
1060,70692.000,70692.000
1061,68926.500,68926.500
1062,68530.500,68530.500
1063,69368.000,69368.000
1064,70845.000,70845.000
1065,72422.500,72422.500
1066,75029.000,75029.000
1067,76275.500,76275.500
1068,76041.000,76041.000
1069,76634.000,76634.000
1070,74945.000,74945.000
1071,70198.000,70198.000
1072,67365.000,67365.000
1073,66316.500,66316.500
1074,67077.500,67077.500
1075,72278.500,72278.500
1076,78140.000,78140.000
1077,76269.000,76269.000
1078,72896.500,72896.500
1079,70878.000,70878.000
1080,72462.000,72462.000
1081,71531.000,71531.000
1082,69061.000,69061.000
1083,68624.000,68624.000
