"periode","prod totale","prod PV","prod eolien"
701,51502.000,0.000,6749.170
702,51408.500,0.000,6749.170
703,52984.500,0.000,6749.170
704,55050.500,0.000,7214.630
705,57250.500,188.160,7912.820
706,59676.000,376.320,8378.280
707,61215.500,940.800,9076.470
708,61783.000,1505.280,9774.660
709,63504.000,1881.600,9774.660
710,63270.500,1693.440,9309.200
711,60464.500,1505.280,8843.740
712,58735.000,1317.120,8378.280
713,57538.000,752.640,7912.820
714,57758.500,188.160,7912.820
715,61644.500,0.000,7680.090
716,64204.000,0.000,7912.820
717,62097.000,0.000,8145.550
718,59059.000,0.000,7912.820
719,57476.000,0.000,7447.360
720,59757.500,0.000,6749.170
721,58867.000,0.000,6283.710
722,55859.500,0.000,6283.710
723,54844.000,0.000,5818.250
724,52305.000,0.000,5352.790
725,50543.000,0.000,4654.600
726,50235.500,0.000,4189.140
727,51049.500,0.000,3723.680
728,52315.500,0.000,3258.220
729,53932.500,188.160,3025.490
730,56657.000,940.800,2792.760
731,59138.000,2069.760,2792.760
732,60528.000,2822.400,3025.490
733,62422.500,3198.720,3258.220
734,61677.500,3010.560,3956.410
735,58071.000,2634.240,4421.870
736,55667.500,1881.600,5120.060
737,54827.000,940.800,6050.980
738,55708.000,188.160,6516.440
739,61079.000,0.000,6749.170
740,64484.000,0.000,7214.630
741,62104.500,0.000,7447.360
742,59044.000,0.000,7447.360
743,57102.000,0.000,6981.900
744,59009.000,0.000,6516.440
745,58191.000,0.000,6749.170
746,55719.500,0.000,6516.440
747,55120.000,0.000,6283.710
748,52954.000,0.000,6283.710
749,51644.000,0.000,6283.710
750,53088.000,0.000,6050.980
751,57665.000,0.000,6050.980
752,63753.500,0.000,6050.980
753,67196.500,0.000,6283.710
754,68333.500,564.480,6283.710
755,68642.000,1128.960,6516.440
756,68843.500,1693.440,6981.900
757,70101.500,2069.760,7214.630
758,69711.500,2257.920,7680.090
759,67729.500,2069.760,7912.820
760,65999.000,1505.280,7680.090
761,64932.500,752.640,7214.630
762,64881.000,188.160,6516.440
763,68116.000,0.000,5585.520
764,70933.000,0.000,4654.600
765,67205.000,0.000,4189.140
766,62889.000,0.000,3723.680
767,60568.500,0.000,3956.410
768,62140.000,0.000,4654.600
769,60962.500,0.000,5585.520
770,57854.500,0.000,6516.440
771,57062.500,0.000,7680.090
772,54856.000,0.000,9309.200
773,53399.500,0.000,10938.310
774,54436.500,0.000,12334.690
775,58649.000,0.000,12800.150
776,64634.500,0.000,13498.340
777,67757.000,188.160,13498.340
778,67669.000,940.800,13498.340
779,67155.000,1881.600,13265.610
780,66863.500,2822.400,13265.610
781,67508.000,3386.880,13032.880
782,66622.500,3386.880,12800.150
783,64340.500,2822.400,12101.960
784,62089.500,2257.920,11403.770
785,60841.500,1128.960,11171.040
786,60570.500,188.160,10938.310
787,64047.000,0.000,11171.040
788,67234.000,0.000,11636.500
789,64065.000,0.000,12800.150
790,60044.500,0.000,12800.150
791,57850.500,0.000,12567.420
792,59302.500,0.000,12334.690
793,58333.000,0.000,11869.230
794,55576.000,0.000,11403.770
795,54717.000,0.000,11171.040
796,52414.000,0.000,10705.580
797,50985.000,0.000,10240.120
798,51998.500,0.000,10240.120
799,56266.000,0.000,10472.850
800,61995.500,0.000,11869.230
801,65086.000,188.160,12567.420
802,66510.000,940.800,12800.150
803,66473.000,1881.600,13498.340
804,66536.500,2446.080,15127.450
805,67369.500,3010.560,15592.910
806,66740.500,3198.720,15360.180
807,64649.000,3198.720,15127.450
808,62863.000,2446.080,14661.990
809,61665.500,1505.280,14661.990
810,61326.500,376.320,13963.800
811,65060.000,0.000,12800.150
812,69029.500,0.000,12101.960
813,65878.000,0.000,10938.310
814,61668.000,0.000,9774.660
815,59642.000,0.000,8611.010
816,61579.000,0.000,7912.820
817,60695.500,0.000,7214.630
818,57871.500,0.000,6283.710
819,57204.000,0.000,5352.790
820,54931.000,0.000,4421.870
821,53558.500,0.000,3723.680
822,54704.000,0.000,3723.680
823,59388.500,0.000,3490.950
824,65755.000,0.000,3490.950
825,68976.500,188.160,3025.490
826,69369.500,564.480,3025.490
827,68812.000,1505.280,3025.490
828,68402.500,2069.760,2792.760
829,68875.000,2634.240,2792.760
830,67754.000,2822.400,2560.030
831,65058.500,2446.080,2327.300
832,62673.000,1881.600,2560.030
833,61510.000,1128.960,2792.760
834,61589.500,188.160,3258.220
835,65146.000,0.000,3723.680
836,68553.000,0.000,4189.140
837,65020.000,0.000,4189.140
838,60923.000,0.000,4189.140
839,58858.500,0.000,4189.140
840,60702.500,0.000,4189.140
841,59618.000,0.000,3723.680
842,56645.000,0.000,3490.950
843,55901.500,0.000,3025.490
844,53511.000,0.000,2792.760
845,52265.500,0.000,2560.030
846,53411.500,0.000,2327.300
847,57675.500,0.000,2094.570
848,64203.500,0.000,2327.300
849,67473.000,188.160,2327.300
850,68011.000,564.480,2094.570
851,67331.500,1317.120,1861.840
852,66922.500,2069.760,1861.840
853,67329.500,2822.400,1861.840
854,66245.500,3010.560,1861.840
855,63596.500,3010.560,1861.840
856,61221.500,2446.080,1629.110
857,59552.000,1317.120,1629.110
858,59512.000,376.320,1861.840
859,63066.500,0.000,2094.570
860,65917.500,0.000,2560.030
