Date;Heure;RES11 (+ RES11WE);RES2 (+ RES5);RES2WE;RES3;RES4
05/01/2021;22;787.7510922;1337.244667;1403.829463;1302.955452;333.1461346
05/01/2021;23;698.2177939;1445.536772;1492.567457;1113.628502;303.8108875
06/01/2021;0;649.8587134;1395.904595;1352.030367;881.8873517;296.327053
06/01/2021;1;621.0258888;1344.768379;1333.876778;733.6633198;980.0322065
06/01/2021;2;612.3189446;1300.442728;1279.421285;651.2475182;883.7781212
06/01/2021;3;614.9272499;1167.703445;1133.486824;615.5580205;727.1735636
06/01/2021;4;625.8560715;1105.885734;1081.602096;605.9111534;635.6679392
06/01/2021;5;649.5408568;1117.546521;1112.2723;617.3373701;596.5987105
06/01/2021;6;713.2513466;1200.971749;1239.993962;549.7455164;605.183387
06/01/2021;7;803.7414113;1221.247105;1331.107179;578.5113379;364.4668888
06/01/2021;8;863.3585523;1200.171086;1328.133922;590.0153639;373.4857122
06/01/2021;9;890.9408426;1196.151131;1297.072164;579.9179619;371.8294062
06/01/2021;10;886.0059299;1191.738202;1258.372534;560.2905338;361.9769804
06/01/2021;11;903.0034215;1197.697804;1247.964104;564.0503131;364.0809434
06/01/2021;12;917.3809485;1333.28117;1380.391771;578.7996662;376.2668779
06/01/2021;13;863.0499656;1311.877313;1368.008259;538.1693132;349.6048148
06/01/2021;14;823.3572002;1222.157499;1295.847284;509.2147083;324.8077491
06/01/2021;15;796.658053;1184.682477;1209.908781;501.1340951;318.9326749
06/01/2021;16;809.9625617;1158.795066;1191.19378;515.6825352;327.0897114
06/01/2021;17;869.0898583;1205.08232;1269.53995;559.8570635;358.7900082
06/01/2021;18;978.3148978;1318.775359;1404.11013;631.6937478;397.3976134
06/01/2021;19;1033.712898;1372.201302;1471.791518;673.2287371;414.0981175
06/01/2021;20;978.0245575;1306.993471;1414.892461;639.8504684;398.7558443
06/01/2021;21;887.2840864;1273.289489;1369.515378;596.0430691;369.4676105
06/01/2021;22;792.6984706;1339.700473;1448.054792;1319.921122;340.8429591
06/01/2021;23;704.8465694;1458.650975;1532.061602;1143.457906;310.8385038
07/01/2021;0;654.932541;1413.827144;1475.465135;921.9787558;305.429549
07/01/2021;1;633.5083473;1373.173463;1467.759607;766.2880517;989.7017947
